symbol,signal_date,signal_close,signal_high,signal_low,RSI_10,RS,prev_RS,EMA_20,EMA_50,EMA_100,avg_deliv_pct,entry_price,stoploss,take_profit,risk_pct,status,trigger_date,exit_date,exit_price,return_pct
CIPLA,2022-07-11,966.05,968.65,927.05,52.52,0.01,-0.01,955.37,936.64,885.14,36.833333333333336,969.65,927.05,1018.13,4.39,TARGET_HIT,2022-07-18 09:15:00,2022-08-01 09:15:00,1018.1325,5.0
CRISIL,2022-09-19,3286.05,3300.0,3150.1,52.18,0.02,-0.01,3247.94,3082.12,2755.31,51.10333333333333,3301.0,3150.1,3466.05,4.57,STOPPED_OUT,2023-02-27 09:15:00,2023-02-27 09:15:00,3150.1,-4.57
NESTLEIND,2022-09-26,957.24,959.75,919.88,56.23,0.01,-0.03,934.34,920.45,902.29,53.21666666666667,960.75,919.88,1008.79,4.25,TARGET_HIT,2022-10-03 09:15:00,2022-10-17 09:15:00,1008.7875,5.0
SYNGENE,2023-01-02,596.1,603.25,576.0,54.08,0.03,-0.02,587.5,583.57,568.27,42.82333333333333,604.25,576.0,634.46,4.68,STOPPED_OUT,2023-01-09 09:15:00,2023-01-23 09:15:00,576.0,-4.68
CERA,2023-01-02,5295.95,5381.0,5175.75,52.8,0.03,-0.04,5216.45,4932.87,4513.82,45.535,5382.0,5175.75,5651.1,3.83,TARGET_HIT,2023-01-09 09:15:00,2023-01-30 09:15:00,5651.1,5.0
INGERRAND,2023-01-09,2042.45,2045.0,1954.0,51.85,0.0,-0.03,2013.12,1785.26,1491.46,40.681666666666665,2046.0,1954.0,2148.3,4.5,STOPPED_OUT,2023-01-16 09:15:00,2023-01-23 09:15:00,1954.0,-4.5
BEL,2023-01-16,101.8,104.0,100.2,52.14,0.03,-0.03,100.66,91.46,77.77,48.61833333333333,105.0,100.2,110.25,4.57,TARGET_HIT,2023-05-02 09:15:00,2023-05-22 09:15:00,110.25,5.0
NTPC,2023-02-13,168.05,169.65,164.2,53.62,0.0,-0.02,166.09,157.56,143.59,100.0,170.65,164.2,179.18,3.78,TARGET_HIT,2023-02-20 09:15:00,2023-03-06 09:15:00,179.1825,5.0
SKFINDIA,2023-02-20,2158.29,2167.9,2087.09,50.19,0.02,-0.04,2154.51,2017.06,1765.19,56.66333333333333,2168.9,2087.09,2277.35,3.77,STOPPED_OUT,2023-02-27 09:15:00,2023-03-13 09:15:00,2087.09,-3.77
ICICIBANK,2023-02-27,868.55,873.0,833.55,50.17,0.06,-0.01,867.61,832.98,757.93,46.98500000000001,874.0,833.55,917.7,4.63,STOPPED_OUT,2023-03-06 09:15:00,2023-03-13 09:15:00,833.55,-4.63
REDINGTON,2023-04-03,171.15,171.9,166.25,50.46,0.01,-0.05,170.41,160.61,143.92,55.86666666666667,172.9,166.25,181.54,3.85,STOPPED_OUT,2023-04-10 09:15:00,2023-04-17 09:15:00,166.25,-3.85
TATAELXSI,2023-08-21,7301.45,7325.0,7003.55,53.96,0.02,-0.08,7173.68,7078.54,6572.07,40.74333333333333,7326.0,7003.55,7692.3,4.4,TARGET_HIT,2023-08-28 09:15:00,2023-10-16 09:15:00,7692.3,5.0
BOSCHLTD,2023-08-28,18986.8,19048.95,18270.0,56.21,0.01,-0.01,18618.68,17987.22,16978.68,55.145,19049.95,18270.0,20002.45,4.09,TARGET_HIT,2023-09-04 09:15:00,2023-10-09 09:15:00,20002.447500000002,5.0
SBIN,2023-09-04,583.45,588.5,568.0,53.57,0.0,-0.07,575.81,560.4,519.24,35.733333333333334,589.5,568.0,618.98,3.65,STOPPED_OUT,2023-09-11 09:15:00,2023-10-16 09:15:00,568.0,-3.65
HONAUT,2023-09-18,40850.0,41000.0,39606.1,53.76,0.0,-0.09,40330.42,39725.11,39166.72,70.965,41001.0,39606.1,43051.05,3.4,STOPPED_OUT,2023-09-25 09:15:00,2023-09-25 09:15:00,39606.1,-3.4
HINDUNILVR,2023-10-09,2529.64,2536.78,2442.56,53.45,0.02,-0.01,2507.12,2505.55,2455.59,66.32166666666667,2537.78,2442.56,2664.67,3.75,STOPPED_OUT,2023-10-16 09:15:00,2023-10-23 09:15:00,2442.56,-3.75
RADICO,2023-10-09,1254.1,1265.3,1209.05,52.28,0.0,-0.04,1241.41,1176.77,1065.14,47.02,1266.3,1209.05,1329.62,4.52,STOPPED_OUT,2023-10-16 09:15:00,2023-10-23 09:15:00,1209.05,-4.52
BERGEPAINT,2023-10-16,584.25,585.9,560.25,52.65,0.0,-0.05,574.13,551.07,546.47,42.95166666666666,586.9,560.25,616.24,4.54,STOPPED_OUT,2023-11-06 09:15:00,2023-11-06 09:15:00,560.25,-4.54
ABB,2023-10-30,4167.5,4180.0,3990.55,50.97,0.04,-0.01,4139.51,3777.96,3232.01,45.848333333333336,4181.0,3990.55,4390.05,4.56,TARGET_HIT,2023-11-06 09:15:00,2023-11-20 09:15:00,4390.05,5.0
BAJAJHLDNG,2023-11-06,7134.0,7170.0,6913.3,53.59,0.05,-0.01,6998.97,6669.86,6051.71,52.553333333333335,7171.0,6913.3,7529.55,3.59,TARGET_HIT,2023-11-13 09:15:00,2023-12-04 09:15:00,7529.55,5.0
DRREDDY,2023-11-06,1089.79,1100.07,1056.64,52.06,0.01,-0.04,1077.3,1013.62,966.2,51.055,1101.07,1056.64,1156.12,4.04,TARGET_HIT,2023-11-13 09:15:00,2023-11-28 09:15:00,1156.1235,5.0
ASTRAL,2023-11-06,1896.85,1905.6,1844.4,53.54,0.01,-0.01,1861.39,1746.94,1605.88,47.73833333333334,1906.6,1844.4,2001.93,3.26,TARGET_HIT,2023-11-13 09:15:00,2023-12-04 09:15:00,2001.93,5.0
SIEMENS,2023-11-20,1884.45,1891.33,1828.05,52.84,0.04,-0.01,1860.19,1778.0,1594.85,43.52,1892.33,1828.05,1986.95,3.4,TARGET_HIT,2023-11-28 09:15:00,2023-12-04 09:15:00,1986.9465,5.0
SYNGENE,2024-04-01,729.5,735.95,700.5,53.04,0.02,-0.07,718.79,711.36,675.91,51.99166666666667,736.95,700.5,773.8,4.95,STOPPED_OUT,2024-04-08 09:15:00,2024-04-15 09:15:00,700.5,-4.95
GARFIBRES,2024-04-08,675.11,682.39,660.69,50.02,0.02,-0.06,674.48,656.94,633.53,46.11333333333334,683.39,660.69,717.56,3.32,STOPPED_OUT,2024-05-27 09:15:00,2024-05-27 09:15:00,660.69,-3.32
ASTRAL,2024-04-22,2039.75,2043.2,1949.9,56.87,0.04,-0.05,1965.54,1878.77,1738.97,49.80666666666667,2044.2,1949.9,2146.41,4.61,TARGET_HIT,2024-04-29 09:15:00,2024-04-29 09:15:00,2146.4100000000003,5.0
TCS,2024-05-06,3893.9,3988.0,3853.0,50.31,0.0,-0.02,3884.15,3715.17,3545.53,53.78333333333333,3989.0,3853.0,4188.45,3.41,TARGET_HIT,2024-07-01 09:15:00,2024-07-08 09:15:00,4188.45,5.0
TITAN,2024-06-10,3530.05,3535.0,3370.85,51.13,0.01,-0.07,3510.43,3373.76,3061.05,65.40285714285714,3536.0,3370.85,3712.8,4.67,STOPPED_OUT,2024-06-18 09:15:00,2024-06-24 09:15:00,3370.85,-4.67
APOLLOHOSP,2024-06-10,6207.6,6219.95,5992.05,56.4,0.0,-0.04,6036.09,5697.25,5197.99,59.142857142857146,6220.95,5992.05,6532.0,3.68,TARGET_HIT,2024-06-18 09:15:00,2024-07-15 09:15:00,6531.9975,5.0
SCHAEFFLER,2024-08-12,4032.0,4041.9,3865.0,50.87,0.01,-0.14,3984.98,3597.89,3189.69,59.0,4042.9,3865.0,4245.04,4.4,STOPPED_OUT,2024-08-19 09:15:00,2024-08-26 09:15:00,3865.0,-4.4
PGHH,2024-09-30,16754.25,16825.0,16405.0,52.38,0.02,-0.09,16631.02,16444.97,15865.97,53.91833333333333,16826.0,16405.0,17667.3,2.5,STOPPED_OUT,2024-10-07 09:15:00,2024-10-14 09:15:00,16405.0,-2.5
MUTHOOTFIN,2024-11-18,1927.35,1934.0,1846.05,54.74,0.02,-0.03,1873.79,1719.69,1549.19,50.07666666666668,1935.0,1846.05,2031.75,4.6,TARGET_HIT,2024-11-25 09:15:00,2024-12-09 09:15:00,2031.75,5.0
NMDC,2024-11-25,76.69,77.4,74.6,51.17,0.06,-0.01,76.11,72.99,64.06,47.62166666666667,78.4,74.6,82.32,4.85,TARGET_HIT,2024-12-02 09:15:00,2024-12-09 09:15:00,82.32000000000001,5.0
GODREJAGRO,2024-11-25,750.55,764.45,730.35,54.3,0.02,-0.02,735.81,668.95,605.03,55.90166666666666,765.45,730.35,803.72,4.59,STOPPED_OUT,2024-12-02 09:15:00,2024-12-16 09:15:00,730.35,-4.59
ABB,2024-12-02,7552.4,7722.5,7340.05,50.07,0.0,-0.01,7544.45,6942.59,5824.37,54.35666666666666,7723.5,7340.05,8109.68,4.96,STOPPED_OUT,2024-12-09 09:15:00,2024-12-16 09:15:00,7340.05,-4.96
INFY,2025-02-03,1903.65,1924.0,1832.4,52.82,0.0,-0.02,1874.39,1775.01,1667.91,66.70666666666666,1925.0,1832.4,2021.25,4.81,NOT_TRIGGERED,,,,
BIKAJI,2025-05-12,717.65,722.7,689.55,52.33,0.01,-0.02,705.71,702.48,639.45,45.04666666666666,723.7,689.55,759.89,4.72,TARGET_HIT,2025-05-19 09:15:00,2025-05-26 09:15:00,759.8850000000001,5.0
TORNTPHARM,2025-06-09,3252.5,3269.9,3146.2,53.99,0.01,-0.06,3200.34,3111.58,2818.28,57.68666666666667,3270.9,3146.2,3434.44,3.81,STOPPED_OUT,2025-06-16 09:15:00,2025-06-23 09:15:00,3146.2,-3.81
DRREDDY,2025-08-11,1260.4,1266.0,1204.1,52.17,0.02,-0.03,1247.21,1239.37,1201.7,58.824,1267.0,1204.1,1330.35,4.96,STOPPED_OUT,2025-08-18 09:15:00,2025-10-27 09:15:00,1204.1,-4.96
PATANJALI,2025-09-15,608.9,614.9,589.5,55.2,0.01,-0.04,595.28,585.65,550.62,50.70666666666667,615.9,589.5,646.7,4.29,NOT_TRIGGERED,,,,
LICI,2025-09-15,446.78,449.92,437.58,52.31,0.04,-0.04,442.46,442.22,434.64,56.73666666666667,450.92,437.58,473.47,2.96,STOPPED_OUT,2025-09-22 09:15:00,2025-09-22 09:15:00,437.58,-2.96
DLF,2025-09-15,777.7,794.8,759.4,51.63,0.0,-0.02,770.67,766.33,728.87,49.69166666666666,795.8,759.4,835.59,4.57,NOT_TRIGGERED,,,,
PRUDENT,2025-10-06,2692.4,2710.0,2600.0,49.89,0.01,-0.04,2690.68,2531.82,2209.94,45.22166666666667,2711.0,2600.0,2846.55,4.09,STOPPED_OUT,2025-10-13 09:15:00,2025-10-13 09:15:00,2600.0,-4.09
RELIANCE,2025-10-13,1416.8,1423.3,1367.8,54.93,0.0,-0.02,1391.95,1374.59,1343.79,51.065,1424.3,1367.8,1495.52,3.97,TARGET_HIT,2025-10-20 09:15:00,2025-10-27 09:15:00,1495.515,5.0
MARICO,2025-11-10,738.7,741.85,706.75,59.15,0.01,-0.02,716.75,692.37,652.96,49.49166666666667,742.85,706.75,779.99,4.86,TARGET_HIT,2025-11-17 09:15:00,2026-01-05 09:15:00,779.9925000000001,5.0
INGERRAND,2025-11-17,3885.7,3933.3,3813.0,51.24,0.03,-0.07,3858.69,3849.37,3683.66,53.17333333333334,3934.3,3813.0,4131.02,3.08,STOPPED_OUT,2025-11-24 09:15:00,2025-11-24 09:15:00,3813.0,-3.08
COROMANDEL,2025-11-17,2262.8,2290.0,2182.7,52.81,0.04,-0.03,2230.2,2109.1,1855.66,63.68833333333333,2291.0,2182.7,2405.55,4.73,TARGET_HIT,2025-11-24 09:15:00,2025-11-24 09:15:00,2405.55,5.0
GRASIM,2025-12-08,2836.7,2845.2,2726.5,56.59,0.02,-0.07,2772.61,2696.29,2531.94,53.695,2846.2,2726.5,2988.51,4.21,STOPPED_OUT,2025-12-15 09:15:00,2026-01-19 09:15:00,2726.5,-4.21
BIKAJI,2025-12-15,749.2,755.2,725.55,57.27,0.0,-0.03,733.4,728.63,686.27,51.455000000000005,756.2,725.55,794.01,4.05,STOPPED_OUT,2025-12-29 09:15:00,2026-01-05 09:15:00,725.55,-4.05
KFINTECH,2025-12-22,1100.3,1115.8,1062.5,51.06,0.0,-0.04,1095.62,1083.45,976.13,35.681666666666665,1116.8,1062.5,1172.64,4.86,NOT_TRIGGERED,,,,
SUNPHARMA,2026-02-16,1724.4,1730.6,1693.4,54.25,0.03,-0.01,1700.66,1693.44,1622.56,67.145,1731.6,1693.4,1818.18,2.21,TARGET_HIT,2026-02-23 09:15:00,2026-03-09 09:15:00,1818.18,5.0
3MINDIA,2026-04-27,33300.0,33895.0,32660.0,51.62,0.03,-0.02,32987.11,32501.27,31672.45,44.81,33896.0,32660.0,35590.8,3.65,STOPPED_OUT,2026-05-18 09:15:00,2026-05-18 09:15:00,32660.0,-3.65
SWARAJENG,2026-05-25,3826.0,3875.0,3696.1,53.25,0.0,-0.06,3754.42,3721.84,3482.95,56.115,3876.0,3696.1,4069.8,4.64,NOT_TRIGGERED,,,,
